,bit,n_irrelevant_texts,r,lr,lora_alpha,inner_epochs,n_lit,model_size,epoch,embed_tokens,lm_head,q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,score
4,16,0,100,0.0002,300,10,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.96
22,4,0,100,0.0002,300,10,2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.9333333333333333
13,16,0,64,0.0002,300,10,3,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8933333333333333
7,16,0,100,0.0002,300,10,2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.8933333333333333
14,16,0,64,0.0002,300,10,4,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.8933333333333333
24,4,0,100,0.0002,300,10,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.8666666666666666
8,16,0,100,0.0002,300,10,3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.86
12,16,0,64,0.0002,300,10,2,70,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.86
23,4,0,100,0.0002,300,10,3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.8266666666666665
9,16,0,100,0.0002,300,10,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.7933333333333332
27,4,0,100,0.0002,300,10,2,70,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.7933333333333332
17,4,0,100,0.0002,300,10,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.7733333333333333
28,4,0,100,0.0002,300,10,3,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.7733333333333333
18,4,0,100,0.0002,300,10,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.74
3,16,0,100,0.0002,300,10,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.6733333333333333
19,4,0,100,0.0002,300,10,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6733333333333333
26,4,0,100,0.0002,300,10,1,70,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.64
1,16,0,100,0.0002,300,10,1,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.64
29,4,0,100,0.0002,300,10,4,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6133333333333333
2,16,0,100,0.0002,300,10,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.6
11,16,0,64,0.0002,300,10,1,70,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.5733333333333334
21,4,0,100,0.0002,300,10,1,13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.47333333333333333
10,16,0,64,0.0002,300,10,0,70,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.4066666666666666
25,4,0,100,0.0002,300,10,0,70,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.4066666666666666
16,4,0,100,0.0002,300,10,1,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.37333333333333335
6,16,0,100,0.0002,300,10,1,13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.37333333333333335
5,16,0,100,0.0002,300,10,0,13,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.20666666666666664
0,16,0,100,0.0002,300,10,0,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.13999999999999999
20,4,0,100,0.0002,300,10,0,13,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.13999999999999999
15,4,0,100,0.0002,300,10,0,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.13999999999999999
